# nx 200 
# ny 200 
# zeta0    alpha   kzeta       
0.00000      1.43719      -0.00000
0.00000      1.44724      -0.00000
0.00000      1.45729      -0.00000
0.00000      1.46734      -0.00000
0.00000      1.47739      -0.00000
0.00000      1.48744      -0.00000
0.00000      1.49749      -0.00000
0.00000      1.50754      -0.00000
0.00000      1.51759      -0.00000
0.00000      1.52764      -0.00000
0.00000      1.53769      -0.00000
0.00000      1.54774      -0.00000
0.00000      1.55779      -0.00000
0.00000      1.56784      -0.00000
0.00000      1.57789      -0.00000
0.00000      1.58794      -0.00000
0.00000      1.59799      -0.00000
0.00000      1.60804      -0.00000
0.00000      1.61809      -0.00000
0.00000      1.62814      -0.00000
0.00000      1.63819      -0.00000
0.00000      1.64824      -0.00000
0.00000      1.65829      -0.00000
0.00000      1.66834      -0.00000
0.00000      1.67839      -0.00000
0.00000      1.68844      -0.00000
0.00000      1.69849      -0.00000
0.00000      1.70854      -0.00000
0.00000      1.71859      -0.00000
0.00000      1.72864      -0.00000
0.00000      1.73869      -0.00000
0.00000      1.74874      -0.00000
0.00000      1.75879      -0.00000
0.00000      1.76884      -0.00000
0.00000      1.77889      -0.00000
0.00000      1.78894      -0.00000
0.00000      1.79899      -0.00000
0.00000      1.80905      -0.00000
0.00000      1.81910      -0.00000
0.00000      1.82915      -0.00000
0.00000      1.83920      -0.00000
0.00000      1.84925      -0.00000
0.00000      1.85930      -0.00000
0.00000      1.86935      -0.00000
0.00000      1.87940      -0.00000
0.00000      1.88945      -0.00000
0.00000      1.89950      -0.00000
0.00000      1.90955      -0.00000
0.00000      1.91960      -0.00000
0.00000      1.92965      -0.00000
0.00000      1.93970      -0.00000
0.00000      1.94975      -0.00000
0.00000      1.95980      -0.00000
0.00000      1.96985      -0.00000
0.00000      1.97990      -0.00000
0.00000      1.98995      -0.00000
0.00000      2.00000      -0.00000
0.00477      0.00000      0.01928
0.00477      0.01005      0.01918
0.00477      0.02010      0.01909
0.00477      0.03015      0.01899
0.00477      0.04020      0.01890
0.00477      0.05025      0.01880
0.00477      0.06030      0.01871
0.00477      0.07035      0.01862
0.00477      0.08040      0.01853
0.00477      0.09045      0.01844
0.00477      0.10050      0.01835
0.00477      0.11055      0.01826
0.00477      0.12060      0.01817
0.00477      0.13065      0.01809
0.00477      0.14070      0.01800
0.00477      0.15075      0.01792
0.00477      0.16080      0.01783
0.00477      0.17085      0.01775
0.00477      0.18090      0.01767
0.00477      0.19095      0.01758
0.00477      0.20101      0.01750
0.00477      0.21106      0.01742
0.00477      0.22111      0.01734
0.00477      0.23116      0.01726
0.00477      0.24121      0.01719
0.00477      0.25126      0.01711
0.00477      0.26131      0.01703
0.00477      0.27136      0.01696
0.00477      0.28141      0.01688
0.00477      0.29146      0.01681
0.00477      0.30151      0.01673
0.00477      0.31156      0.01666
0.00477      0.32161      0.01659
0.00477      0.33166      0.01651
0.00477      0.34171      0.01644
0.00477      0.35176      0.01637
0.00477      0.36181      0.01630
0.00477      0.37186      0.01623
0.00477      0.38191      0.01616
0.00477      0.39196      0.01609
0.00477      0.40201      0.01603
0.00477      0.41206      0.01596
0.00477      0.42211      0.01589
0.00477      0.43216      0.01583
0.00477      0.44221      0.01576
0.00477      0.45226      0.01570
0.00477      0.46231      0.01563
0.00477      0.47236      0.01557
0.00477      0.48241      0.01550
0.00477      0.49246      0.01544
0.00477      0.50251      0.01538
0.00477      0.51256      0.01532
0.00477      0.52261      0.01525
0.00477      0.53266      0.01519
0.00477      0.54271      0.01513
0.00477      0.55276      0.01507
0.00477      0.56281      0.01501
0.00477      0.57286      0.01495
0.00477      0.58291      0.01490
0.00477      0.59296      0.01484
0.00477      0.60302      0.01478
0.00477      0.61307      0.01472
0.00477      0.62312      0.01467
0.00477      0.63317      0.01461
0.00477      0.64322      0.01455
0.00477      0.65327      0.01450
0.00477      0.66332      0.01444
0.00477      0.67337      0.01439
0.00477      0.68342      0.01433
0.00477      0.69347      0.01428
0.00477      0.70352      0.01423
0.00477      0.71357      0.01417
0.00477      0.72362      0.01412
0.00477      0.73367      0.01407
0.00477      0.74372      0.01402
0.00477      0.75377      0.01397
0.00477      0.76382      0.01391
0.00477      0.77387      0.01386
0.00477      0.78392      0.01381
0.00477      0.79397      0.01376
0.00477      0.80402      0.01371
0.00477      0.81407      0.01366
0.00477      0.82412      0.01362
0.00477      0.83417      0.01357
0.00477      0.84422      0.01352
0.00477      0.85427      0.01347
0.00477      0.86432      0.01342
0.00477      0.87437      0.01338
0.00477      0.88442      0.01333
0.00477      0.89447      0.01328
0.00477      0.90452      0.01324
0.00477      0.91457      0.01319
0.00477      0.92462      0.01314
0.00477      0.93467      0.01310
0.00477      0.94472      0.01305
0.00477      0.95477      0.01301
0.00477      0.96482      0.01296
0.00477      0.97487      0.01292
0.00477      0.98492      0.01288
0.00477      0.99497      0.01283
0.00477      1.00503      0.01279
0.00477      1.01508      0.01275
0.00477      1.02513      0.01270
0.00477      1.03518      0.01266
0.00477      1.04523      0.01262
0.00477      1.05528      0.01258
0.00477      1.06533      0.01254
0.00477      1.07538      0.01250
0.00477      1.08543      0.01245
0.00477      1.09548      0.01241
0.00477      1.10553      0.01237
0.00477      1.11558      0.01233
0.00477      1.12563      0.01229
0.00477      1.13568      0.01225
0.00477      1.14573      0.01221
0.00477      1.15578      0.01218
0.00477      1.16583      0.01214
0.00477      1.17588      0.01210
0.00477      1.18593      0.01206
0.00477      1.19598      0.01202
0.00477      1.20603      0.01198
0.00477      1.21608      0.01195
0.00477      1.22613      0.01191
0.00477      1.23618      0.01187
0.00477      1.24623      0.01183
0.00477      1.25628      0.01180
0.00477      1.26633      0.01176
0.00477      1.27638      0.01172
0.00477      1.28643      0.01169
0.00477      1.29648      0.01165
0.00477      1.30653      0.01162
0.00477      1.31658      0.01158
0.00477      1.32663      0.01155
0.00477      1.33668      0.01151
0.00477      1.34673      0.01148
0.00477      1.35678      0.01144
0.00477      1.36683      0.01141
0.00477      1.37688      0.01137
0.00477      1.38693      0.01134
0.00477      1.39698      0.01131
0.00477      1.40704      0.01127
0.00477      1.41709      0.01124
0.00477      1.42714      0.01121
0.00477      1.43719      0.01117
0.00477      1.44724      0.01114
0.00477      1.45729      0.01111
0.00477      1.46734      0.01108
0.00477      1.47739      0.01104
0.00477      1.48744      0.01101
0.00477      1.49749      0.01098
0.00477      1.50754      0.01095
0.00477      1.51759      0.01092
0.00477      1.52764      0.01089
0.00477      1.53769      0.01085
0.00477      1.54774      0.01082
0.00477      1.55779      0.01079
0.00477      1.56784      0.01076
0.00477      1.57789      0.01073
0.00477      1.58794      0.01070
0.00477      1.59799      0.01067
0.00477      1.60804      0.01064
0.00477      1.61809      0.01061
0.00477      1.62814      0.01058
0.00477      1.63819      0.01055
0.00477      1.64824      0.01052
0.00477      1.65829      0.01049
0.00477      1.66834      0.01047
0.00477      1.67839      0.01044
0.00477      1.68844      0.01041
0.00477      1.69849      0.01038
0.00477      1.70854      0.01035
0.00477      1.71859      0.01032
0.00477      1.72864      0.01030
0.00477      1.73869      0.01027
0.00477      1.74874      0.01024
0.00477      1.75879      0.01021
0.00477      1.76884      0.01018
0.00477      1.77889      0.01016
0.00477      1.78894      0.01013
0.00477      1.79899      0.01010
0.00477      1.80905      0.01008
0.00477      1.81910      0.01005
0.00477      1.82915      0.01002
0.00477      1.83920      0.01000
0.00477      1.84925      0.00997
0.00477      1.85930      0.00995
0.00477      1.86935      0.00992
0.00477      1.87940      0.00989
0.00477      1.88945      0.00987
0.00477      1.89950      0.00984
0.00477      1.90955      0.00982
0.00477      1.91960      0.00979
0.00477      1.92965      0.00977
0.00477      1.93970      0.00974
0.00477      1.94975      0.00972
0.00477      1.95980      0.00969
0.00477      1.96985      0.00967
0.00477      1.97990      0.00964
0.00477      1.98995      0.00962
0.00477      2.00000      0.00959
0.00955      0.00000      0.03893
0.00955      0.01005      0.03873
0.00955      0.02010      0.03854
0.00955      0.03015      0.03834
0.00955      0.04020      0.03815
0.00955      0.05025      0.03796
0.00955      0.06030      0.03777
0.00955      0.07035      0.03758
0.00955      0.08040      0.03740
0.00955      0.09045      0.03722
0.00955      0.10050      0.03703
0.00955      0.11055      0.03685
0.00955      0.12060      0.03668
0.00955      0.13065      0.03650
0.00955      0.14070      0.03633
0.00955      0.15075      0.03615
0.00955      0.16080      0.03598
0.00955      0.17085      0.03581
0.00955      0.18090      0.03564
0.00955      0.19095      0.03548
0.00955      0.20101      0.03531
0.00955      0.21106      0.03515
0.00955      0.22111      0.03499
0.00955      0.23116      0.03483
0.00955      0.24121      0.03467
0.00955      0.25126      0.03451
0.00955      0.26131      0.03436
0.00955      0.27136      0.03420
0.00955      0.28141      0.03405
0.00955      0.29146      0.03390
0.00955      0.30151      0.03375
0.00955      0.31156      0.03360
0.00955      0.32161      0.03345
0.00955      0.33166      0.03330
0.00955      0.34171      0.03316
0.00955      0.35176      0.03301
0.00955      0.36181      0.03287
0.00955      0.37186      0.03273
0.00955      0.38191      0.03259
0.00955      0.39196      0.03245
0.00955      0.40201      0.03231
0.00955      0.41206      0.03217
0.00955      0.42211      0.03204
0.00955      0.43216      0.03190
0.00955      0.44221      0.03177
0.00955      0.45226      0.03164
0.00955      0.46231      0.03151
0.00955      0.47236      0.03138
0.00955      0.48241      0.03125
0.00955      0.49246      0.03112
0.00955      0.50251      0.03099
0.00955      0.51256      0.03087
0.00955      0.52261      0.03074
0.00955      0.53266      0.03062
0.00955      0.54271      0.03050
0.00955      0.55276      0.03037
0.00955      0.56281      0.03025
0.00955      0.57286      0.03013
0.00955      0.58291      0.03001
0.00955      0.59296      0.02990
0.00955      0.60302      0.02978
0.00955      0.61307      0.02966
0.00955      0.62312      0.02955
0.00955      0.63317      0.02943
0.00955      0.64322      0.02932
0.00955      0.65327      0.02921
0.00955      0.66332      0.02910
0.00955      0.67337      0.02898
0.00955      0.68342      0.02887
0.00955      0.69347      0.02876
0.00955      0.70352      0.02866
0.00955      0.71357      0.02855
0.00955      0.72362      0.02844
0.00955      0.73367      0.02834
0.00955      0.74372      0.02823
0.00955      0.75377      0.02813
0.00955      0.76382      0.02802
0.00955      0.77387      0.02792
0.00955      0.78392      0.02782
0.00955      0.79397      0.02772
0.00955      0.80402      0.02762
0.00955      0.81407      0.02752
0.00955      0.82412      0.02742
0.00955      0.83417      0.02732
0.00955      0.84422      0.02722
0.00955      0.85427      0.02712
0.00955      0.86432      0.02703
0.00955      0.87437      0.02693
0.00955      0.88442      0.02684
0.00955      0.89447      0.02674
0.00955      0.90452      0.02665
0.00955      0.91457      0.02655
0.00955      0.92462      0.02646
0.00955      0.93467      0.02637
0.00955      0.94472      0.02628
0.00955      0.95477      0.02619
0.00955      0.96482      0.02610
0.00955      0.97487      0.02601
0.00955      0.98492      0.02592
0.00955      0.99497      0.02583
0.00955      1.00503      0.02574
0.00955      1.01508      0.02566
0.00955      1.02513      0.02557
0.00955      1.03518      0.02549
0.00955      1.04523      0.02540
0.00955      1.05528      0.02532
0.00955      1.06533      0.02523
0.00955      1.07538      0.02515
0.00955      1.08543      0.02507
0.00955      1.09548      0.02498
0.00955      1.10553      0.02490
0.00955      1.11558      0.02482
0.00955      1.12563      0.02474
0.00955      1.13568      0.02466
0.00955      1.14573      0.02458
0.00955      1.15578      0.02450
0.00955      1.16583      0.02442
0.00955      1.17588      0.02434
0.00955      1.18593      0.02427
0.00955      1.19598      0.02419
0.00955      1.20603      0.02411
0.00955      1.21608      0.02403
0.00955      1.22613      0.02396
0.00955      1.23618      0.02388
0.00955      1.24623      0.02381
0.00955      1.25628      0.02373
0.00955      1.26633      0.02366
0.00955      1.27638      0.02359
0.00955      1.28643      0.02351
0.00955      1.29648      0.02344
0.00955      1.30653      0.02337
0.00955      1.31658      0.02330
0.00955      1.32663      0.02323
0.00955      1.33668      0.02316
0.00955      1.34673      0.02309
0.00955      1.35678      0.02302
0.00955      1.36683      0.02295
0.00955      1.37688      0.02288
0.00955      1.38693      0.02281
0.00955      1.39698      0.02274
0.00955      1.40704      0.02267
0.00955      1.41709      0.02261
0.00955      1.42714      0.02254
0.00955      1.43719      0.02247
0.00955      1.44724      0.02241
0.00955      1.45729      0.02234
0.00955      1.46734      0.02227
0.00955      1.47739      0.02221
0.00955      1.48744      0.02214
0.00955      1.49749      0.02208
0.00955      1.50754      0.02202
0.00955      1.51759      0.02195
0.00955      1.52764      0.02189
0.00955      1.53769      0.02183
0.00955      1.54774      0.02176
0.00955      1.55779      0.02170
0.00955      1.56784      0.02164
0.00955      1.57789      0.02158
0.00955      1.58794      0.02152
0.00955      1.59799      0.02146
0.00955      1.60804      0.02140
0.00955      1.61809      0.02134
0.00955      1.62814      0.02128
0.00955      1.63819      0.02122
0.00955      1.64824      0.02116
0.00955      1.65829      0.02110
0.00955      1.66834      0.02104
0.00955      1.67839      0.02098
0.00955      1.68844      0.02092
0.00955      1.69849      0.02087
0.00955      1.70854      0.02081
0.00955      1.71859      0.02075
0.00955      1.72864      0.02070
0.00955      1.73869      0.02064
0.00955      1.74874      0.02058
0.00955      1.75879      0.02053
0.00955      1.76884      0.02047
0.00955      1.77889      0.02042
0.00955      1.78894      0.02036
0.00955      1.79899      0.02031
0.00955      1.80905      0.02026
0.00955      1.81910      0.02020
0.00955      1.82915      0.02015
0.00955      1.83920      0.02010
0.00955      1.84925      0.02004
0.00955      1.85930      0.01999
0.00955      1.86935      0.01994
0.00955      1.87940      0.01988
0.00955      1.88945      0.01983
0.00955      1.89950      0.01978
0.00955      1.90955      0.01973
0.00955      1.91960      0.01968
0.00955      1.92965      0.01963
0.00955      1.93970      0.01958
0.00955      1.94975      0.01953
0.00955      1.95980      0.01948
0.00955      1.96985      0.01943
0.00955      1.97990      0.01938
0.00955      1.98995      0.01933
0.00955      2.00000      0.01928
0.01432      0.00000      0.05896
0.01432      0.01005      0.05866
0.01432      0.02010      0.05836
0.01432      0.03015      0.05806
0.01432      0.04020      0.05777
0.01432      0.05025      0.05748
0.01432      0.06030      0.05719
0.01432      0.07035      0.05690
0.01432      0.08040      0.05662
0.01432      0.09045      0.05634
0.01432      0.10050      0.05606
0.01432      0.11055      0.05579
0.01432      0.12060      0.05552
0.01432      0.13065      0.05525
0.01432      0.14070      0.05498
0.01432      0.15075      0.05472
0.01432      0.16080      0.05446
0.01432      0.17085      0.05420
0.01432      0.18090      0.05394
0.01432      0.19095      0.05369
0.01432      0.20101      0.05344
0.01432      0.21106      0.05319
0.01432      0.22111      0.05294
0.01432      0.23116      0.05270
0.01432      0.24121      0.05245
0.01432      0.25126      0.05221
0.01432      0.26131      0.05198
0.01432      0.27136      0.05174
0.01432      0.28141      0.05151
0.01432      0.29146      0.05127
0.01432      0.30151      0.05104
0.01432      0.31156      0.05082
0.01432      0.32161      0.05059
0.01432      0.33166      0.05037
0.01432      0.34171      0.05015
0.01432      0.35176      0.04993
0.01432      0.36181      0.04971
0.01432      0.37186      0.04949
0.01432      0.38191      0.04928
0.01432      0.39196      0.04907
0.01432      0.40201      0.04886
0.01432      0.41206      0.04865
0.01432      0.42211      0.04844
0.01432      0.43216      0.04824
0.01432      0.44221      0.04803
0.01432      0.45226      0.04783
0.01432      0.46231      0.04763
0.01432      0.47236      0.04744
0.01432      0.48241      0.04724
0.01432      0.49246      0.04704
0.01432      0.50251      0.04685
0.01432      0.51256      0.04666
0.01432      0.52261      0.04647
0.01432      0.53266      0.04628
0.01432      0.54271      0.04609
0.01432      0.55276      0.04591
0.01432      0.56281      0.04572
0.01432      0.57286      0.04554
0.01432      0.58291      0.04536
0.01432      0.59296      0.04518
0.01432      0.60302      0.04500
0.01432      0.61307      0.04482
0.01432      0.62312      0.04465
0.01432      0.63317      0.04447
0.01432      0.64322      0.04430
0.01432      0.65327      0.04413
0.01432      0.66332      0.04396
0.01432      0.67337      0.04379
0.01432      0.68342      0.04362
0.01432      0.69347      0.04346
0.01432      0.70352      0.04329
0.01432      0.71357      0.04313
0.01432      0.72362      0.04297
0.01432      0.73367      0.04281
0.01432      0.74372      0.04265
0.01432      0.75377      0.04249
0.01432      0.76382      0.04233
0.01432      0.77387      0.04217
0.01432      0.78392      0.04202
0.01432      0.79397      0.04186
0.01432      0.80402      0.04171
0.01432      0.81407      0.04156
0.01432      0.82412      0.04141
0.01432      0.83417      0.04126
0.01432      0.84422      0.04111
0.01432      0.85427      0.04096
0.01432      0.86432      0.04081
0.01432      0.87437      0.04067
0.01432      0.88442      0.04052
0.01432      0.89447      0.04038
0.01432      0.90452      0.04024
0.01432      0.91457      0.04010
0.01432      0.92462      0.03996
0.01432      0.93467      0.03982
0.01432      0.94472      0.03968
0.01432      0.95477      0.03954
0.01432      0.96482      0.03940
0.01432      0.97487      0.03927
0.01432      0.98492      0.03913
0.01432      0.99497      0.03900
0.01432      1.00503      0.03887
0.01432      1.01508      0.03873
0.01432      1.02513      0.03860
0.01432      1.03518      0.03847
0.01432      1.04523      0.03834
0.01432      1.05528      0.03821
0.01432      1.06533      0.03809
0.01432      1.07538      0.03796
0.01432      1.08543      0.03783
0.01432      1.09548      0.03771
0.01432      1.10553      0.03758
0.01432      1.11558      0.03746
0.01432      1.12563      0.03734
0.01432      1.13568      0.03722
0.01432      1.14573      0.03710
0.01432      1.15578      0.03698
0.01432      1.16583      0.03686
0.01432      1.17588      0.03674
0.01432      1.18593      0.03662
0.01432      1.19598      0.03650
0.01432      1.20603      0.03639
0.01432      1.21608      0.03627
0.01432      1.22613      0.03615
0.01432      1.23618      0.03604
0.01432      1.24623      0.03593
0.01432      1.25628      0.03581
0.01432      1.26633      0.03570
0.01432      1.27638      0.03559
0.01432      1.28643      0.03548
0.01432      1.29648      0.03537
0.01432      1.30653      0.03526
0.01432      1.31658      0.03515
0.01432      1.32663      0.03504
0.01432      1.33668      0.03494
0.01432      1.34673      0.03483
0.01432      1.35678      0.03472
0.01432      1.36683      0.03462
0.01432      1.37688      0.03451
0.01432      1.38693      0.03441
0.01432      1.39698      0.03431
0.01432      1.40704      0.03420
0.01432      1.41709      0.03410
0.01432      1.42714      0.03400
0.01432      1.43719      0.03390
0.01432      1.44724      0.03380
0.01432      1.45729      0.03370
0.01432      1.46734      0.03360
0.01432      1.47739      0.03350
0.01432      1.48744      0.03340
0.01432      1.49749      0.03330
0.01432      1.50754      0.03321
0.01432      1.51759      0.03311
0.01432      1.52764      0.03301
0.01432      1.53769      0.03292
0.01432      1.54774      0.03282
0.01432      1.55779      0.03273
0.01432      1.56784      0.03264
0.01432      1.57789      0.03254
0.01432      1.58794      0.03245
0.01432      1.59799      0.03236
0.01432      1.60804      0.03227
0.01432      1.61809      0.03218
0.01432      1.62814      0.03209
0.01432      1.63819      0.03199
0.01432      1.64824      0.03191
0.01432      1.65829      0.03182
0.01432      1.66834      0.03173
0.01432      1.67839      0.03164
0.01432      1.68844      0.03155
0.01432      1.69849      0.03147
0.01432      1.70854      0.03138
0.01432      1.71859      0.03129
0.01432      1.72864      0.03121
0.01432      1.73869      0.03112
0.01432      1.74874      0.03104
0.01432      1.75879      0.03095
0.01432      1.76884      0.03087
0.01432      1.77889      0.03079
0.01432      1.78894      0.03070
0.01432      1.79899      0.03062
0.01432      1.80905      0.03054
0.01432      1.81910      0.03046
0.01432      1.82915      0.03038
0.01432      1.83920      0.03029
0.01432      1.84925      0.03021
0.01432      1.85930      0.03013
0.01432      1.86935      0.03006
0.01432      1.87940      0.02998
0.01432      1.88945      0.02990
0.01432      1.89950      0.02982
0.01432      1.90955      0.02974
0.01432      1.91960      0.02966
0.01432      1.92965      0.02959
0.01432      1.93970      0.02951
0.01432      1.94975      0.02943
0.01432      1.95980      0.02936
0.01432      1.96985      0.02928
0.01432      1.97990      0.02921
0.01432      1.98995      0.02913
0.01432      2.00000      0.02906
0.01910      0.00000      0.07938
0.01910      0.01005      0.07897
0.01910      0.02010      0.07856
0.01910      0.03015      0.07816
0.01910      0.04020      0.07776
0.01910      0.05025      0.07737
0.01910      0.06030      0.07697
0.01910      0.07035      0.07659
0.01910      0.08040      0.07620
0.01910      0.09045      0.07582
0.01910      0.10050      0.07545
0.01910      0.11055      0.07507
0.01910      0.12060      0.07471
0.01910      0.13065      0.07434
0.01910      0.14070      0.07398
0.01910      0.15075      0.07362
0.01910      0.16080      0.07327
0.01910      0.17085      0.07291
0.01910      0.18090      0.07257
0.01910      0.19095      0.07222
0.01910      0.20101      0.07188
0.01910      0.21106      0.07154
0.01910      0.22111      0.07121
0.01910      0.23116      0.07088
0.01910      0.24121      0.07055
0.01910      0.25126      0.07022
0.01910      0.26131      0.06990
0.01910      0.27136      0.06958
0.01910      0.28141      0.06926
0.01910      0.29146      0.06895
0.01910      0.30151      0.06864
0.01910      0.31156      0.06833
0.01910      0.32161      0.06802
0.01910      0.33166      0.06772
0.01910      0.34171      0.06742
0.01910      0.35176      0.06712
0.01910      0.36181      0.06683
0.01910      0.37186      0.06653
0.01910      0.38191      0.06624
0.01910      0.39196      0.06596
0.01910      0.40201      0.06567
0.01910      0.41206      0.06539
0.01910      0.42211      0.06511
0.01910      0.43216      0.06483
0.01910      0.44221      0.06456
0.01910      0.45226      0.06428
0.01910      0.46231      0.06401
0.01910      0.47236      0.06374
0.01910      0.48241      0.06348
0.01910      0.49246      0.06321
0.01910      0.50251      0.06295
0.01910      0.51256      0.06269
0.01910      0.52261      0.06244
0.01910      0.53266      0.06218
0.01910      0.54271      0.06193
0.01910      0.55276      0.06168
0.01910      0.56281      0.06143
0.01910      0.57286      0.06118
0.01910      0.58291      0.06094
0.01910      0.59296      0.06069
0.01910      0.60302      0.06045
0.01910      0.61307      0.06021
0.01910      0.62312      0.05997
0.01910      0.63317      0.05974
0.01910      0.64322      0.05950
0.01910      0.65327      0.05927
0.01910      0.66332      0.05904
0.01910      0.67337      0.05881
0.01910      0.68342      0.05859
0.01910      0.69347      0.05836
0.01910      0.70352      0.05814
0.01910      0.71357      0.05792
0.01910      0.72362      0.05770
0.01910      0.73367      0.05748
0.01910      0.74372      0.05726
0.01910      0.75377      0.05705
0.01910      0.76382      0.05684
0.01910      0.77387      0.05662
0.01910      0.78392      0.05641
0.01910      0.79397      0.05621
0.01910      0.80402      0.05600
0.01910      0.81407      0.05579
0.01910      0.82412      0.05559
0.01910      0.83417      0.05539
0.01910      0.84422      0.05519
0.01910      0.85427      0.05499
0.01910      0.86432      0.05479
0.01910      0.87437      0.05459
0.01910      0.88442      0.05440
0.01910      0.89447      0.05420
0.01910      0.90452      0.05401
0.01910      0.91457      0.05382
0.01910      0.92462      0.05363
0.01910      0.93467      0.05344
0.01910      0.94472      0.05325
0.01910      0.95477      0.05307
0.01910      0.96482      0.05288
0.01910      0.97487      0.05270
0.01910      0.98492      0.05252
0.01910      0.99497      0.05234
0.01910      1.00503      0.05216
0.01910      1.01508      0.05198
0.01910      1.02513      0.05180
0.01910      1.03518      0.05163
0.01910      1.04523      0.05145
0.01910      1.05528      0.05128
0.01910      1.06533      0.05110
0.01910      1.07538      0.05093
0.01910      1.08543      0.05076
0.01910      1.09548      0.05059
0.01910      1.10553      0.05043
0.01910      1.11558      0.05026
0.01910      1.12563      0.05009
0.01910      1.13568      0.04993
0.01910      1.14573      0.04977
0.01910      1.15578      0.04960
